Unnamed: 0,student_id,student serial,course_id,Course Name,course_name
5333,875,18544,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5334,875,18544,0,Computing Algorithms,Computing Algorithms
5335,875,18544,20,Embeded Systems Desin,Embeded Systems Desin
5336,875,18544,1,DATA SECURITY,DATA SECURITY
5340,386,7669,20,Embeded Systems Desin,Embeded Systems Desin
5341,876,29359,3,NEURAL NETWORKS,NEURAL NETWORKS
5342,876,29359,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5343,876,29359,0,Computing Algorithms,Computing Algorithms
5344,876,29359,20,Embeded Systems Desin,Embeded Systems Desin
5345,877,4407,3,NEURAL NETWORKS,NEURAL NETWORKS
5346,877,4407,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5347,877,4407,0,Computing Algorithms,Computing Algorithms
5348,877,4407,20,Embeded Systems Desin,Embeded Systems Desin
5349,878,16445,3,NEURAL NETWORKS,NEURAL NETWORKS
5350,878,16445,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5351,878,16445,0,Computing Algorithms,Computing Algorithms
5352,878,16445,20,Embeded Systems Desin,Embeded Systems Desin
5353,878,16445,1,DATA SECURITY,DATA SECURITY
5354,879,4930,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5355,879,4930,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5356,879,4930,0,Computing Algorithms,Computing Algorithms
5357,879,4930,1,DATA SECURITY,DATA SECURITY
5358,880,9900,3,NEURAL NETWORKS,NEURAL NETWORKS
5359,880,9900,14,Web Engineering,Web Engineering
5360,880,9900,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5361,880,9900,20,Embeded Systems Desin,Embeded Systems Desin
5362,880,9900,1,DATA SECURITY,DATA SECURITY
5363,881,16985,3,NEURAL NETWORKS,NEURAL NETWORKS
5364,881,16985,0,Computing Algorithms,Computing Algorithms
5365,881,16985,20,Embeded Systems Desin,Embeded Systems Desin
5366,881,16985,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5367,881,16985,1,DATA SECURITY,DATA SECURITY
5368,882,4159,3,NEURAL NETWORKS,NEURAL NETWORKS
5369,882,4159,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5370,882,4159,0,Computing Algorithms,Computing Algorithms
5371,882,4159,20,Embeded Systems Desin,Embeded Systems Desin
5372,882,4159,1,DATA SECURITY,DATA SECURITY
5373,883,10508,3,NEURAL NETWORKS,NEURAL NETWORKS
5374,883,10508,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5375,883,10508,0,Computing Algorithms,Computing Algorithms
5376,883,10508,1,DATA SECURITY,DATA SECURITY
5377,884,19154,3,NEURAL NETWORKS,NEURAL NETWORKS
5378,884,19154,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5379,884,19154,0,Computing Algorithms,Computing Algorithms
5380,884,19154,20,Embeded Systems Desin,Embeded Systems Desin
5381,884,19154,1,DATA SECURITY,DATA SECURITY
5382,885,12190,3,NEURAL NETWORKS,NEURAL NETWORKS
5383,885,12190,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5384,885,12190,0,Computing Algorithms,Computing Algorithms
5385,885,12190,20,Embeded Systems Desin,Embeded Systems Desin
5386,886,22345,3,NEURAL NETWORKS,NEURAL NETWORKS
5387,886,22345,5,Modelling & Simulation,Modelling & Simulation
5388,886,22345,14,Web Engineering,Web Engineering
5389,887,24126,3,NEURAL NETWORKS,NEURAL NETWORKS
5390,887,24126,4,Image Processing and Pattern Recognition,Image Processing and Pattern Recognition
5391,887,24126,16,COMPUTER SYSTEMS ENGINEERING,COMPUTER SYSTEMS ENGINEERING
5392,887,24126,5,Modelling & Simulation,Modelling & Simulation
5393,887,24126,14,Web Engineering,Web Engineering
5394,888,31081,3,NEURAL NETWORKS,NEURAL NETWORKS
5395,888,31081,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5396,888,31081,0,Computing Algorithms,Computing Algorithms
5397,888,31081,20,Embeded Systems Desin,Embeded Systems Desin
5398,888,31081,1,DATA SECURITY,DATA SECURITY
5399,889,11349,3,NEURAL NETWORKS,NEURAL NETWORKS
5400,889,11349,2,INTRO.TO SOFTWARE ENG,INTRO.TO SOFTWARE ENG
5401,889,11349,0,Computing Algorithms,Computing Algorithms
